book_name,author_year,summary,link
Social Media Mining An Introduction,"Reza Zafarani, Mohammad Ali Abbasi, & Huan Liu, 2014","Suitable for use in advanced undergraduate and beginning graduate courses as well as professional short courses, the text contains exercises of different degrees of difficulty that improve understanding and help apply concepts in social media mining",http://dmml.asu.edu/smm/book/
Theory and Applications for Advanced Text Mining,"Shigeaki Sakurai, 2012",This book is composed of 9 chapters introducing advanced text mining techniques. They are various techniques from relation extraction to under or less resourced language.,http://www.intechopen.com/books/theory-and-applications-for-advanced-text-mining
Understanding Machine Learning: From Theory to Algorithms,"Shai Shalev-Shwartz, 2014","The aim of this textbook is to introduce machine learning, and the algorithmic paradigms it offers, in a principled way.",http://www.cs.huji.ac.il/~shais/UnderstandingMachineLearning/copy.html
An Introduction to Data Science,"Jeffrey Stanton, Syracuse University",This book was developed for the Certificate of Data Science pro- gram at Syracuse University’s School of Information Studies.,https://docs.google.com/file/d/0B6iefdnF22XQeVZDSkxjZ0Z5VUE/edit?pli=1
Data Jujitsu: The Art of Turning Data into Product,"DJ Patil, 2012","Learn how to use a problem's ""weight"" against itself. Learn more about the problems before starting on the solutions—and use the findings to solve them, or determine whether the problems are worth solving at all.",http://www.oreilly.com/data/free/data-jujitsu.csp
School of Data Handbook,"School of Data, 2015",The School of Data Handbook is a companion text to the School of Data. Its function is something like a traditional textbook – it will provide the detail and background theory to support the School of Data courses and challenges.,http://schoolofdata.org/handbook/
The Art of Data Science,"Roger D. Peng & Elizabeth Matsui, 2015","This book describes the process of analyzing data. The authors have extensive experience both managing data analysts and conducting their own data analyses, and this book is a distillation of their experience...",https://www.amazon.com/Art-Data-Science-Roger-Peng/dp/1365061469/?tag=learnds-20
D3 Tips and Tricks,"Malcolm Maclean, 2015",D3 Tips and Tricks is a book written to help those who may be unfamiliar with JavaScript or web page creation get started turning information into visualization.,https://leanpub.com/D3-Tips-and-Tricks
Interactive Data Visualization for the Web,"Scott Murray, 2013","Create and publish your own interactive data visualization projects on the Web—even if you have little or no experience with data visualization or web development. It’s easy and fun with this practical, hands-on introduction.",http://chimera.labs.oreilly.com/books/1230000000345/index.html
Cloudera Impala,"John Russell, 2014","Learn about Cloudera Impala--an open source project that's opening up the Apache Hadoop software stack to a wide audience of database analysts, users, and developers.",http://amzn.to/1WeQ81B
